n,f,a
1,0.6,1.20E-04
2,0.635714287,2.81E-04
3,0.671428575,5.20E-04
4,0.707142862,8.13E-04
5,0.742857149,1.13E-03
6,0.778571437,1.43E-03
7,0.814285724,1.71E-03
8,0.850000011,2.00E-03
9,0.885714298,2.39E-03
10,0.921428586,2.95E-03
11,0.957142873,3.62E-03
12,0.99285716,4.03E-03
13,1.028571448,3.92E-03
14,1.064285735,3.48E-03
15,1.100000022,2.95E-03
16,1.13571431,2.52E-03
17,1.171428597,2.22E-03
18,1.207142884,2.02E-03
19,1.242857172,1.89E-03
20,1.278571459,1.79E-03
21,1.314285746,1.71E-03
22,1.350000034,1.63E-03
23,1.385714321,1.55E-03
24,1.421428608,1.48E-03
25,1.457142895,1.41E-03
26,1.492857183,1.35E-03
27,1.52857147,1.29E-03
28,1.564285757,1.23E-03
29,1.600000045,1.17E-03
